School ID,school_name,borough,building Code,average_math,average_reading,average_writing,percent_tested
09X260,Bronx Center for Science and Mathematics,Bronx,X002,513,468,485,73.90%
09X324,Bronx Early College Academy for Teaching and Learning,Bronx,X166,424,413,409,93.30%
09X250,Eximius College Preparatory Academy (College Board),Bronx,X002,400,391,397,78.20%
12X267,Bronx Latin,Bronx,X158,394,381,363,81.00%
09X404,School for Excellence,Bronx,X400,377,385,383,38.40%
09X297,Morris Academy for Collaborative Studies,Bronx,X400,407,389,386,44.80%
09X517,Frederick Douglass Academy III Secondary School,Bronx,X148,387,386,386,50.50%
09X564,Claremont International High School,Bronx,X410,,,,
09X241,Urban Assembly School for Applied Math and Science,Bronx,X970,445,418,422,87.80%
09X227,Bronx Collegiate Academy,Bronx,X410,395,401,382,45.50%
09X252,Mott Hall Bronx High School,Bronx,X970,417,399,398,46.20%
09X276,Leadership Institute,Bronx,X004,,,,23.50%
09X350,New Directions Secondary School,Bronx,X410,,,,
09X525,Bronx Leadership Academy High School,Bronx,X876,375,372,374,49.10%
09X263,Validus Preparatory Academy: An Expeditionary Learning School,Bronx,X970,382,375,384,59.20%
09X413,Bronx High School for Medical Science,Bronx,X410,431,421,426,83.90%
09X231,Eagle Academy for Young Men,Bronx,X465,398,410,397,65.70%
09X412,Bronx High School of Business,Bronx,X410,365,360,346,33.30%
09X329,DreamYard Preparatory School,Bronx,X410,385,385,388,51.10%
10X225,Theatre Arts Production Company School,Bronx,X137,402,421,410,77.70%
10X243,West Bronx Academy for the Future,Bronx,X435,404,383,378,57.30%
10X524,Crotona International High School,Bronx,X660,,,,0.00%
10X439,Bronx High School for Law and Community Service,Bronx,X435,401,402,386,64.80%
10X264,Bronx Academy for Software Engineering (BASE),Bronx,X660,,,,
10X434,Belmont Preparatory High School,Bronx,X435,413,408,402,55.30%
10X437,Fordham High School for the Arts,Bronx,X435,398,404,412,56.20%
10X565,High School for Energy and Technology,Bronx,X660,,,,
10X374,Knowledge and Power Preparatory Academy International High School (KAPPA),Bronx,X435,408,417,404,66.70%
10X438,Fordham Leadership Academy for Business and Technology,Bronx,X435,355,373,368,44.30%
12X248,Metropolitan High School,Bronx,X099,387,388,386,65.90%
08X332,Holcombe L. Rucker School of Community Research,Bronx,X039,376,372,369,59.00%
08X530,Banana Kelly High School,Bronx,X039,378,391,378,25.70%
08X269,Bronx Studio School for Writers and Artists,Bronx,X392,417,412,403,71.60%
12X278,Peace and Diversity Academy,Bronx,X099,366,362,365,27.10%
12X271,East Bronx Academy for the Future,Bronx,X973,418,406,408,41.10%
12X511,Bronx Envision Academy,Bronx,X098,364,385,366,76.50%
12X682,Fannie Lou Hamer Freedom High School,Bronx,X878,345,347,339,75.00%
12X251,Explorations Academy,Bronx,X098,377,372,365,43.00%
12X372,Urban Assembly School for Wildlife Conservation,Bronx,X067,393,397,379,71.10%
12X684,Wings Academy,Bronx,X879,379,372,373,49.20%
08X348,Schuylerville Preparatory High School,Bronx,X405,,,,
08X293,Renaissance High School for Musical Theater and Technology,Bronx,X405,390,411,393,52.30%
08X558,Westchester Square Academy,Bronx,X405,,,,
08X320,Pelham Lab High School,Bronx,X405,,,,
08X405,Herbert H. Lehman High School,Bronx,X405,426,419,407,28.90%
08X349,Bronx River High School,Bronx,X405,,,,
11X418,Bronx High School for the Visual Arts,Bronx,X839,408,428,404,32.50%
10X368,In-Tech Academy,Bronx,X368,426,419,404,85.90%
10X284,Bronx School of Law and Finance,Bronx,X475,384,394,366,48.30%
10X213,Bronx Engineering and Technology Academy,Bronx,X475,394,406,391,59.60%
10X546,Bronx Theatre High School,Bronx,X475,382,384,390,66.70%
10X477,Marble Hill High School for International Studies,Bronx,X475,451,417,423,92.90%
10X237,"Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,X143,423,420,425,68.60%
